T=0	200	0	0	0	0
T=1	195	5	0	0	0
T=2	195	5	0	0	0
T=3	195	5	0	0	0
T=4	195	5	0	0	0
T=5	195	5	0	0	0
T=6	195	5	0	0	0
T=7	195	5	0	0	0
T=8	195	5	0	0	0
T=9	195	5	0	0	0
T=10	195	5	0	0	0
T=11	195	5	0	0	0
T=12	194	5	1	0	0
T=13	194	5	1	0	0
T=14	194	5	1	0	0
T=15	194	5	1	0	0
T=16	194	5	1	0	0
T=17	194	5	1	0	0
T=18	194	5	1	0	0
T=19	194	5	1	0	0
T=20	194	5	1	0	0
T=21	194	5	1	0	0
T=22	193	5	2	0	0
T=23	193	5	2	0	0
T=24	193	5	2	0	0
T=25	193	5	2	0	0
T=26	193	5	2	0	0
T=27	193	5	2	0	0
T=28	193	5	2	0	0
T=29	193	5	2	0	0
T=30	193	5	2	0	0
T=31	193	5	2	0	0
T=32	192	5	3	0	0
T=33	192	5	3	0	0
T=34	192	5	3	0	0
T=35	192	5	3	0	0
T=36	192	5	3	0	0
T=37	192	5	3	0	0
T=38	192	5	3	0	0
T=39	192	5	3	0	0
T=40	192	5	3	0	0
T=41	192	5	3	0	0
T=42	191	5	4	0	0
T=43	191	5	4	0	0
T=44	191	5	4	0	0
T=45	191	5	4	0	0
T=46	191	5	4	0	0
T=47	191	5	4	0	0
T=48	191	5	4	0	0
T=49	191	5	4	0	0
T=50	191	5	4	0	0
T=51	191	5	4	0	0
T=52	190	5	5	0	0
T=53	190	5	5	0	0
T=54	190	5	5	0	0
T=55	190	5	5	0	0
T=56	190	5	5	0	0
T=57	190	5	5	0	0
T=58	190	5	5	0	0
T=59	190	5	5	0	0
T=60	190	5	5	0	0
T=61	190	5	5	0	0
T=62	189	5	6	0	0
T=63	189	5	6	0	0
T=64	189	5	6	0	0
T=65	189	5	6	0	0
T=66	189	5	6	0	0
T=67	189	5	6	0	0
T=68	189	5	6	0	0
T=69	189	5	6	0	0
T=70	189	5	6	0	0
T=71	189	5	6	0	0
T=72	188	5	7	0	0
T=73	188	5	7	0	0
T=74	188	5	7	0	0
T=75	188	5	7	0	0
T=76	188	5	7	0	0
T=77	188	5	7	0	0
T=78	188	5	7	0	0
T=79	188	5	7	0	0
T=80	188	5	7	0	0
T=81	188	5	7	0	0
T=82	187	5	8	0	0
T=83	187	5	8	0	0
T=84	187	5	8	0	0
T=85	187	5	8	0	0
T=86	187	5	8	0	0
T=87	187	5	8	0	0
T=88	187	5	8	0	0
T=89	187	5	8	0	0
T=90	187	5	8	0	0
T=91	187	5	8	0	0
T=92	186	5	9	0	0
T=93	186	5	9	0	0
T=94	186	5	9	0	0
T=95	186	5	9	0	0
T=96	186	5	9	0	0
T=97	186	5	9	0	0
T=98	186	5	9	0	0
T=99	186	5	9	0	0
T=100	186	5	9	0	0
T=101	186	5	9	0	0
T=102	185	5	10	0	0
T=103	185	5	10	0	0
T=104	185	5	10	0	0
